original,corrected,canonical,cluster_id
skin lesion,skin lesion,skin lesion,18
skin may thicken,skin may thicken,skin may thicken,110
skin rashes,skin rashes,skin rashes,87
skin reashes,skin reaches,skin reaches,420
skin ulcer,skin ulcer,skin ulcer,87
skinallergy,skin allergy,skin allergy,87
sleeping excessively,sleeping excessively,sleeping excessively,392
slightly swollen,slightly swollen,slightly swollen,93
slim over the shell,slim over the shell,slim over the shell,326
sloughing of the tail,sloughing of the tail,sloughing of the tail,298
slow growth,slow growth,slow growth,34
sluggish,sluggish,sluggish,412
small and yellow bumps,small and yellow bumps,small and yellow bumps,24
small intestines,small intestines,small intestines,358
small red bumps,small red bumps,small red bumps,24
small size,small size,small size,290
smell,smell,smell,142
smell of ammonia,smell of ammonia,smell of ammonia,142
sneeze,sneeze,sneeze,49
sneezing,sneezing,sneeze,49
snoring,snoring,snore,381
sore,sore,sore,336
sores on lip,sores on lip,sores on lip,204
sores on lower leg and teats,sores on lower leg and teats,sores on lower leg and teats,158
sour throat,sour throat,sour throat,174
speech delay,speech delay,speech delay,367
spines,spines,spinal column,248
splenomegaly,splenomegaly,splenomegaly,199
spread of infection,spread of infection,spread of infection,30
staggering,staggering,stagger,390
staggering as drunk,staggering as drunk,staggering as drunk,127
stained wool,stained wool,stained wool,28
stamping and pedding of hind eye,stamping and wedding of hind eye,stamping and wedding of hind eye,351
stand with head droping,stand with head dropping,stand with head dropping,277
stealing,stealing,larceny,165
stiff,stiff,stiff,140
stiffness,stiffness,stiffness,140
stillbirth,stillbirth,spontaneous abortion,76
stomach cramps,stomach cramps,stomach cramps,41
stomach growling,stomach growling,stomach growling,41
stomatitis,stomatitis,stomatitis,6
stop drinking,stop drinking,stop drinking,330
stop eating,stop eating,stop eating,141
stopped eat,stopped eat,stopped eat,141
straining,straining,strain,271
strange behaviour,strange behaviour,strange behaviour,342
straw colored,straw coloured,straw coloured,64
stress,stress,stress,43
stripped remiges,stripped remixes,stripped remixes,291
strong cough,strong cough,strong cough,86
stumbling,stumbling,stumble,250
stunted growth,stunted growth,stunted growth,34
succumb,succumb,yield,190
sudden abortion,sudden abortion,sudden abortion,76
sudden death,sudden death,sudden death,25
swallowing,swallowing,swallow,338
swaying,swaying,rock,383
sweat,sweat,perspiration,134
sweating,sweating,perspiration,134
sweats,sweats,sweat suit,276
swelling,swelling,swelling,7
swelling in the bite area,swelling in the bite area,swelling in the bite area,7
swelling may occur under jaw,swelling may occur under jaw,swelling may occur under jaw,7
swelling of eye,swelling of eye,swelling of eye,7
swelling of eyelid,swelling of eyelid,swelling of eyelid,7
swelling of face or leg,swelling of face or leg,swelling of face or leg,7
swelling of head and neck,swelling of head and neck,swelling of head and neck,7
swelling of internal organs,swelling of internal organs,swelling of internal organs,7
swelling of joints,swelling of joints,swelling of joints,7
swelling of neck,swelling of neck,swelling of neck,7
swelling of udder,swelling of udder,swelling of udder,7
swelling on jaw,swelling on jaw,swelling on jaw,7
swelling on joints,swelling on joints,swelling on joints,7
swelling on leg,swelling on leg,swelling on leg,7
swelling on thebody,swelling on the body,swelling on the body,7
swelling problem,swelling problem,swelling problem,7
swollen,swollen,swell,331
swollen abdomen,swollen abdomen,swollen abdomen,70
swollen and painfull,swollen and painful,swollen and painful,7
swollen belly,swollen belly,swollen belly,70
swollen comb,swollen comb,swollen comb,92
swollen eyelids,swollen eyelids,swollen eyelids,7
swollen kidney,swollen kidney,swollen kidney,70
swollen left abdomen,swollen left abdomen,swollen left abdomen,70
swollen lymph nodes,swollen lymph nodes,swollen lymph nodes,346
swollen purple wattle,swollen purple wattle,swollen purple wattle,387
swollen teats,swollen teats,swollen teats,70
swolling of joint,swelling of joint,swelling of joint,7
tachypea,tach yea,tach yea,407
tail bobbing,tail bobbing,tail bobbing,66
tail shaking,tail shaking,tail shaking,66
tail wagging,tail wagging,tail wagging,66
tarry stool,tarry stool,tarry stool,5
tear produce,tear produce,tear produce,139
tear production,tear production,tear production,139
tears,tears,crying,332
tender to touch,tender to touch,tender to touch,170
tenderness,tenderness,tenderness,45
tensemus,tense us,tense us,289
terminal convulsion,terminal convulsion,terminal convulsion,379
testical pain,test cal pain,test cal pain,234
thick crusting,thick crusting,thick crusting,57
thicked skin,thicker skin,thicker skin,384
thickening of skin,thickening of skin,thickening of skin,110
thirst,thirst,thirst,35
thivk skin,think skin,think skin,191
thrist and urination,christ and urination,christ and urination,304
throat and ear pain,throat and ear pain,throat and ear pain,69
tiredness,tiredness,fatigue,413
torticollis,torticollis,torticollis,6
trachea,trachea,trachea,406
trauma,trauma,injury,244
trembling,trembling,shaking,196
tremor,tremor,tremor,109
tremor of head and neck,tremor of head and neck,tremor of head and neck,109
tremors,tremors,tremor,109
tremors of the head,tremors of the head,tremors of the head,109
trouble walking,trouble walking,trouble walking,90
twisted neck,twisted neck,twisted neck,14
twitching,twitching,twitch,223
ulcer,ulcer,ulcer,257
ulcer on gum,ulcer on gum,ulcer on gum,26
ulcerated ear,ulcerated ear,ulcerated ear,257
ulcerated muscle,ulcerated muscle,ulcerated muscle,257
ulcerated skin,ulcerated skin,ulcerated skin,257
ulcers,ulcers,ulcer,257
unable to eat,unable to eat,unable to eat,2
unable to exercise,unable to exercise,unable to exercise,111
unable to urinate,unable to urinate,unable to urinate,22
uncharacteristic hiding,uncharacteristic hiding,uncharacteristic hiding,436
underdeveloped muscles,underdeveloped muscles,underdeveloped muscles,398
undernutrition,under nutrition,under nutrition,273
undigested in their feces,undigested in their fees,undigested in their fees,427
undigested seeds,undigested seeds,undigested seeds,313
unilateral nasal discharge,unilateral nasal discharge,unilateral nasal discharge,102
unsteady gait,unsteady gait,unsteady gait,84
unusally thin,unusually thin,unusually thin,114
upset stomach,upset stomach,upset stomach,41
urination,urination,micturition,309
urination problem,urination problem,urination problem,22
urine dribbling,urine dribbling,urine dribbling,22
urine infection,urine infection,urine infection,22
urine retention,urine retention,urine retention,22
uteria inertia,uteri inertia,uteri inertia,426
vaginal discharge,vaginal discharge,vaginal discharge,102
very cold skin,very cold skin,very cold skin,369
viability,viability,viability,237
vision problem,vision problem,vision problem,12
vitamin and minerals defiency,vitamin and minerals def ency,vitamin and minerals def ency,335
vomiting,vomiting,vomit,268
vomitting,vomiting,vomit,268
walking problem,walking problem,walking problem,90
wandering,wandering,wandering,401
warm,warm,warm,241
wart like growth,wart like growth,wart like growth,310
wasting,wasting,cachexia,56
watering,watering,lacrimation,418
watering diarrhea,watering diarrhoea,watering diarrhoea,17
watering of eyes,watering of eyes,watering of eyes,155
watery diarrhea dispropotion,watery diarrhoea disproportion,watery diarrhoea disproportion,17
watery eye,watery eye,watery eye,155
watery eyes,watery eyes,watery eyes,155
watery stool,watery stool,watery stool,5
wattles,wattles,wattle,328
weak calves,weak calves,weak calves,31
weak kids,weak kids,weak kids,235
weak pulse,weak pulse,weak pulse,130
weakened legs,weakened legs,weakened legs,31
weakness,weakness,failing,266
week legs,week legs,week legs,31
week pulse,week pulse,week pulse,130
weekness,weakness,failing,266
weekness in the back legs,weakness in the back legs,weakness in the back legs,71
weight gain,weight gain,weight gain,214
weight loss,weight loss,weight loss,185
weightloss,weightless,weightless,146
weigth bearing long bones,weight bearing long bones,weight bearing long bones,376
wether restless,wether restless,wether restless,347
wheezing,wheezing,wheeze,320
white mark on the muscle,white mark on the muscle,white mark on the muscle,259
willnot run to jump,will not run to jump,will not run to jump,157
wool is clumped,wool is clumped,wool is clumped,28
wool loss,wool loss,wool loss,28
wool production,wool production,wool production,28
wound,wound,wound,380
wound lesion,wound lesion,wound lesion,18
yellow eye,yellow eye,yellow eye,62
yellow in beak,yellow in beak,yellow in beak,415
yellow or green dropping,yellow or green dropping,yellow or green dropping,47
yellowish discharge,yellowish discharge,yellowish discharge,102
