AnimalGroup,Animal,Species,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,symptoms1_cluster,symptoms1_corrected,symptoms1_canonical,symptoms2_cluster,symptoms2_corrected,symptoms2_canonical,symptoms3_cluster,symptoms3_corrected,symptoms3_canonical,symptoms4_cluster,symptoms4_corrected,symptoms4_canonical,symptoms5_cluster,symptoms5_corrected,symptoms5_canonical
mammal,monkey,unknown,fever,rhinorrhea,coughing,sneezing,nasal discharge,yes,175,fever,fever,193,rhino rhea,rhino rhea,86,coughing,cough,49,sneezing,sneeze,102,nasal discharge,nasal discharge
mammal,monkey,unknown,mortality,painfull,coughing,weight loss,nasal discharge,yes,37,mortality,mortality,95,painful,painful,86,coughing,cough,185,weight loss,weight loss,102,nasal discharge,nasal discharge
mammal,monkey,unknown,skin rashes,diarrhea,death,facial edema,pain,yes,87,skin rashes,skin rashes,17,diarrhoea,diarrhea,25,death,death,53,facial enema,facial enema,95,pain,pain
mammal,monkey,unknown,fever,dyspnea,coughing,lethargy,weightloss,yes,175,fever,fever,316,dyspnoea,dyspnea,86,coughing,cough,312,lethargy,lethargy,146,weightless,weightless
mammal,monkey,unknown,fever,dyspnea,coughing,weakness,anorexia,yes,175,fever,fever,316,dyspnoea,dyspnea,86,coughing,cough,266,weakness,failing,56,anorexia,anorexia
mammal,monkey,unknown,facial edema,dyspnea,conjuctivtis,weakness,pharyngitis,yes,53,facial enema,facial enema,316,dyspnoea,dyspnea,1,conjunctivitis,conjunctivitis,266,weakness,failing,174,pharyngitis,sore throat
mammal,monkey,unknown,fever,pneumonia,congestion,lethargy,nasal discharge,yes,175,fever,fever,213,pneumonia,pneumonia,307,congestion,congestion,312,lethargy,lethargy,102,nasal discharge,nasal discharge
mammal,monkey,unknown,fever,death,coughing,weight loss,nasal discharge,yes,175,fever,fever,25,death,death,86,coughing,cough,185,weight loss,weight loss,102,nasal discharge,nasal discharge
mammal,monkey,unknown,sneezing,convulsion,seizuers,weight loss,nasal discharge,yes,49,sneezing,sneeze,168,convulsion,paroxysm,60,seizures,seizure,185,weight loss,weight loss,102,nasal discharge,nasal discharge
mammal,monkey,unknown,fever,death,coughing,dyspnea,anorexia,yes,175,fever,fever,25,death,death,86,coughing,cough,316,dyspnoea,dyspnea,56,anorexia,anorexia
mammal,monkey,unknown,dyspnea,difficulty in breathing,coughing,lethargy,nasal discharge,yes,316,dyspnoea,dyspnea,9,difficulty in breathing,difficulty in breathing,86,coughing,cough,312,lethargy,lethargy,102,nasal discharge,nasal discharge
mammal,monkey,unknown,air sacculitis,halitosis,coughing,enteritis,weight loss,yes,402,air sac colitis,air sac colitis,321,halitosis,halitosis,86,coughing,cough,63,enteritis,enteritis,185,weight loss,weight loss
mammal,monkey,unknown,fever,convulsion,sudden death,urine retention,weight loss,yes,175,fever,fever,168,convulsion,paroxysm,25,sudden death,sudden death,22,urine retention,urine retention,185,weight loss,weight loss
mammal,monkey,unknown,dyspnea,neurologic sign,coughing,depression,anorexia,yes,316,dyspnoea,dyspnea,79,neurologic sign,neurologic sign,86,coughing,cough,43,depression,depression,56,anorexia,anorexia
mammal,monkey,unknown,fever,dyspnea,coughing,lethargy,anorexia,yes,175,fever,fever,316,dyspnoea,dyspnea,86,coughing,cough,312,lethargy,lethargy,56,anorexia,anorexia
mammal,monkey,unknown,labored breathing,dyspnea,coughing,depression,anorexia,yes,9,laboured breathing,laboured breathing,316,dyspnoea,dyspnea,86,coughing,cough,43,depression,depression,56,anorexia,anorexia
mammal,monkey,unknown,blood from mouth,diarrhea,coughing,lethargy,weight loss,yes,27,blood from mouth,blood from mouth,17,diarrhoea,diarrhea,86,coughing,cough,312,lethargy,lethargy,185,weight loss,weight loss
mammal,monkey,unknown,hemopytsis,diarrhea,asymptomatic,death,epistaxis,yes,283,memory this,memory this,17,diarrhoea,diarrhea,117,asymptomatic,asymptomatic,25,death,death,152,epistaxis,nosebleed
mammal,monkey,unknown,restlessness,weakness,blue straws,death,pain,yes,72,restlessness,restlessness,266,weakness,failing,64,blue straws,blue straws,25,death,death,95,pain,pain
bird,other birds,unknown,stripped remiges,less feather growth,ruffled feathers,defienciency in vitamin,diarrhea,yes,291,stripped remixes,stripped remixes,8,less feather growth,less feather growth,195,ruffled feathers,ruffled feathers,23,deficiency in vitamin,deficiency in vitamin,17,diarrhoea,diarrhea
bird,other birds,unknown,apathy,depression,dilation of duodenum,cloacal pasting,congestion,yes,156,apathy,apathy,43,depression,depression,300,dilation of duodenum,dilation of duodenum,121,cloaca pasting,cloaca pasting,307,congestion,congestion
bird,other birds,unknown,lepatomegaly,splenomegaly,vomiting,swollen,shaking oh head,yes,391,legato ebay,legato ebay,199,splenomegaly,splenomegaly,268,vomiting,vomit,331,swollen,swell,196,shaking of head,shaking of head
bird,other birds,unknown,balance problem,abdominal destention,neck paralysis,weight loss,pains,yes,232,balance problem,balance problem,149,abdominal detention,abdominal detention,13,neck paralysis,neck paralysis,185,weight loss,weight loss,394,pains,striving
bird,other birds,unknown,legness,paresis,coughing,weight loss,shortness of breath,yes,146,legless,legless,168,paresis,paresis,86,coughing,cough,185,weight loss,weight loss,9,shortness of breath,shortness of breath
bird,other birds,unknown,fever,sour throat,mortality,muscle aches,abnormalities,yes,175,fever,fever,174,sour throat,sour throat,37,mortality,mortality,38,muscle aches,muscle aches,192,abnormalities,abnormality
bird,other birds,unknown,difficulty in feeding,preening,weakness,beak overgrowth,anemia,yes,2,difficulty in feeding,difficulty in feeding,81,preening,preen,266,weakness,failing,150,beak overgrowth,beak overgrowth,422,anaemia,anemia
bird,other birds,unknown,fever,loss of appetite,ear infection,depression,nasal discharge,yes,175,fever,fever,4,loss of appetite,loss of appetite,69,ear infection,ear infection,43,depression,depression,102,nasal discharge,nasal discharge
bird,other birds,unknown,forthy eye,torticollis,weakness,swelling,emaciation,yes,201,forth eye,forth eye,6,torticollis,torticollis,266,weakness,failing,7,swelling,swelling,148,emaciation,bonyness
bird,other birds,unknown,inappentence,diarrhea,tremors of the head,dehydration,weight loss,yes,242,ina sentence,ina sentence,17,diarrhoea,diarrhea,109,tremors of the head,tremors of the head,35,dehydration,dehydration,185,weight loss,weight loss
bird,other birds,unknown,lack of walking,lack of flying,roughened,dehydration,pains,yes,91,lack of walking,lack of walking,65,lack of flying,lack of flying,178,roughened,roughen,35,dehydration,dehydration,394,pains,striving
bird,other birds,unknown,skin rashes,small and yellow bumps,swelling,dry scabs,lameness,yes,87,skin rashes,skin rashes,24,small and yellow bumps,small and yellow bumps,7,swelling,swelling,144,dry scabs,dry scabs,51,lameness,lameness
bird,other birds,unknown,scabs on feet,redness,trachea,thickening of skin,pains,yes,78,scabs on feet,scabs on feet,210,redness,inflammation,406,trachea,trachea,110,thickening of skin,thickening of skin,394,pains,striving
bird,other birds,unknown,enlarged thymus,obstructed lungs,lethargy,skin rashes,weight loss,yes,416,enlarged thymus,enlarged thymus,32,obstructed lungs,obstructed lungs,312,lethargy,lethargy,87,skin rashes,skin rashes,185,weight loss,weight loss
bird,other birds,unknown,fluffed feather,loss of appetite,coughing,vomiting,snoring,yes,188,fluffed feather,fluffed feather,4,loss of appetite,loss of appetite,86,coughing,cough,268,vomiting,vomit,381,snoring,snore
bird,other birds,unknown,fever,difficultty in breathing,yellow eye,sneezing,diphtherictic,yes,175,fever,fever,9,difficulty in breathing,difficulty in breathing,62,yellow eye,yellow eye,49,sneezing,sneeze,221,diphtheria tic,diphtheria tic
bird,other birds,unknown,heavy breathing,yellow in beak,tail bobbing,weakness,sleeping excessively,yes,9,heavy breathing,heavy breathing,415,yellow in beak,yellow in beak,66,tail bobbing,tail bobbing,266,weakness,failing,392,sleeping excessively,sleeping excessively
bird,other birds,unknown,puffed up feather,less eat,headache,half closed eye,seizures,yes,188,puffed up feather,puffed up feather,374,less eat,less eat,166,headache,concern,160,half closed eye,half closed eye,60,seizures,seizure
bird,other birds,unknown,fever,diarrhea,swollen abdomen,vomiting,difficulty in breathing,yes,175,fever,fever,17,diarrhoea,diarrhea,70,swollen abdomen,swollen abdomen,268,vomiting,vomit,9,difficulty in breathing,difficulty in breathing
bird,other birds,unknown,tail wagging,straining,lethargy,weakness,diarrhea,yes,66,tail wagging,tail wagging,271,straining,strain,312,lethargy,lethargy,266,weakness,failing,17,diarrhoea,diarrhea
bird,other birds,unknown,overweight,loss of appetite,ruffled feathers,depression,diarrhea,yes,59,overweight,corpulence,4,loss of appetite,loss of appetite,195,ruffled feathers,ruffled feathers,43,depression,depression,17,diarrhoea,diarrhea
bird,other birds,unknown,dejection,loss of appetite,stress,coughing,pains,yes,222,dejection,dejection,4,loss of appetite,loss of appetite,43,stress,stress,86,coughing,cough,394,pains,striving
bird,other birds,unknown,skin infection,secondary infection,coughing,depression,shaking oh head,yes,87,skin infection,skin infection,30,secondary infection,secondary infection,86,coughing,cough,43,depression,depression,196,shaking of head,shaking of head
bird,other birds,unknown,discharge from eyes,lethargy,coughing,sneezing,fatique,yes,105,discharge from eyes,discharge from eyes,312,lethargy,lethargy,86,coughing,cough,49,sneezing,sneeze,413,fatigue,fatigue
bird,other birds,unknown,fever,chills,retarded growth,chest pain,chest pain,yes,175,fever,fever,359,chills,chill,34,retarded growth,retarded growth,430,chest pain,chest pain,430,chest pain,chest pain
bird,other birds,unknown,pale comb,lame,death,swolling of joint,eye closed,yes,92,pale comb,pale comb,256,lame,square,25,death,death,7,swelling of joint,swelling of joint,160,eye closed,eye closed
bird,other birds,unknown,lethargy,loss of appetite,difficulty in swallowing,weakness,vision problem,yes,312,lethargy,lethargy,4,loss of appetite,loss of appetite,2,difficulty in swallowing,difficulty in swallowing,266,weakness,failing,12,vision problem,vision problem
bird,other birds,unknown,emaciation,difficulty in breathing,vomiting,weakness,diarrhea,yes,148,emaciation,bonyness,9,difficulty in breathing,difficulty in breathing,268,vomiting,vomit,266,weakness,failing,17,diarrhoea,diarrhea
bird,other birds,unknown,liquid dropping,exhaustion,ataxia,lethargy,seizures,yes,74,liquid dropping,liquid dropping,413,exhaustion,exhaustion,56,ataxia,ataxia,312,lethargy,lethargy,60,seizures,seizure
bird,other birds,unknown,undigested in their feces,loss of appetite,loss of pigment,weakness,bloody in feather,yes,427,undigested in their fees,undigested in their fees,4,loss of appetite,loss of appetite,68,loss of pigment,loss of pigment,266,weakness,failing,261,bloody in feather,bloody in feather
bird,other birds,unknown,sharp feather,clubbed feather,eye disharge,loss of powder down,diarrhea,yes,188,sharp feather,sharp feather,188,clubbed feather,clubbed feather,105,eye discharge,eye discharge,382,loss of powder down,loss of powder down,17,diarrhoea,diarrhea
bird,other birds,unknown,ruffled appearance,loss of appetite,vomiting,green dropping,nasal discharge,yes,195,ruffled appearance,ruffled appearance,4,loss of appetite,loss of appetite,268,vomiting,vomit,47,green dropping,green dropping,102,nasal discharge,nasal discharge
bird,other birds,unknown,sinuses,swollen eyelids,skin rashes,sneezing,misshapen beak,yes,254,sinuses,fistula,7,swollen eyelids,swollen eyelids,87,skin rashes,skin rashes,49,sneezing,sneeze,150,misshapen beak,misshapen beak
bird,other birds,unknown,feather loss,feather plucking,coughing,itching,nasal discharge,yes,8,feather loss,feather loss,8,feather plucking,feather plucking,86,coughing,cough,343,itching,itch,102,nasal discharge,nasal discharge
bird,other birds,unknown,watery eyes,eye closed,weight loss,sneezing,nervous issue,yes,155,watery eyes,watery eyes,160,eye closed,eye closed,185,weight loss,weight loss,49,sneezing,sneeze,115,nervous issue,nervous issue
bird,other birds,unknown,bony lesion,skin rashes,ataxia,anorexia,weakness,yes,18,bony lesion,bony lesion,87,skin rashes,skin rashes,56,ataxia,ataxia,56,anorexia,anorexia,266,weakness,failing
bird,other birds,unknown,tremor of head and neck,blindness,kicking at the belly,exercise in tolerance,pains,yes,109,tremor of head and neck,tremor of head and neck,184,blindness,blindness,106,kicking at the belly,kicking at the belly,364,exercise in tolerance,exercise in tolerance,394,pains,striving
mammal,even-toed ungulates,sheep,swollen belly,dullness,discharge,urination,lying down,yes,70,swollen belly,swollen belly,67,dullness,dullness,105,discharge,discharge,309,urination,micturition,161,lying down,lying down
mammal,even-toed ungulates,sheep,fever,dullness,depression,weight loss,anorexia,yes,175,fever,fever,67,dullness,dullness,43,depression,depression,185,weight loss,weight loss,56,anorexia,anorexia
mammal,even-toed ungulates,sheep,fever,succumb,spread of infection,weight loss,anorexia,yes,175,fever,fever,190,succumb,yield,30,spread of infection,spread of infection,185,weight loss,weight loss,56,anorexia,anorexia
mammal,even-toed ungulates,sheep,signs in rams,signs in ewe,underdeveloped muscles,semen examination,reduce lamp marking,yes,11,signs in rams,signs in rams,11,signs in ewe,signs in ewe,398,underdeveloped muscles,underdeveloped muscles,251,semen examination,semen examination,194,reduce lamp marking,reduce lamp marking
mammal,even-toed ungulates,sheep,spines,unusally thin,weakness,enlarged skulls,weakness,yes,248,spines,spinal column,114,unusually thin,unusually thin,266,weakness,failing,301,enlarged skulls,enlarged skulls,266,weakness,failing
mammal,even-toed ungulates,sheep,discharge,sudden abortion,hemoglobinuria,death of lamb,weight loss,yes,105,discharge,discharge,76,sudden abortion,sudden abortion,372,haemoglobin ria,haemoglobin ria,220,death of lamb,death of lamb,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,fever,hemolytic anemia,sweats,congestion,jaundice,yes,175,fever,fever,75,hem lytic anaemia,hem lytic anaemia,276,sweats,sweat suit,307,congestion,congestion,236,jaundice,jaundice
mammal,even-toed ungulates,sheep,fever,tiredness,loss of appetite,muscle aches,chest pain,yes,175,fever,fever,413,tiredness,fatigue,4,loss of appetite,loss of appetite,38,muscle aches,muscle aches,430,chest pain,chest pain
mammal,even-toed ungulates,sheep,excess salivation,diarrhea,depression,nasal discharge,weakness,yes,21,excess salivation,excess salivation,17,diarrhoea,diarrhea,43,depression,depression,102,nasal discharge,nasal discharge,266,weakness,failing
mammal,even-toed ungulates,sheep,fever,diarrhea,incoordination,abortion,blood poisioning,yes,175,fever,fever,17,diarrhoea,diarrhea,361,incoordination,incoordination,76,abortion,abortion,27,blood poisoning,blood poisoning
mammal,even-toed ungulates,sheep,fever,wasting,dehydration,deability,weakness,yes,175,fever,fever,56,wasting,cachexia,35,dehydration,dehydration,52,debility,infirmity,266,weakness,failing
mammal,even-toed ungulates,sheep,fever,diarrhea,muscle twiching,lameness,weight loss,yes,175,fever,fever,17,diarrhoea,diarrhea,179,muscle twitching,muscle twitching,51,lameness,lameness,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,fever,depression,lying down,weak pulse,colic,yes,175,fever,fever,43,depression,depression,161,lying down,lying down,130,weak pulse,weak pulse,58,colic,colic
mammal,even-toed ungulates,sheep,swelling,lameness,hyperaestesia,hock joint,weight loss,yes,7,swelling,swelling,51,lameness,lameness,315,hypertext asia,hypertext asia,282,hock joint,hock joint,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,head tilt,circling,muscles ache,blindness,seizures,yes,299,head tilt,head tilt,207,circling,circle,38,muscles ache,muscles ache,184,blindness,blindness,60,seizures,seizure
mammal,even-toed ungulates,sheep,decreased growth of bone,depression,grunting,lameness,weight loss,yes,29,decreased growth of bone,decreased growth of bone,43,depression,depression,365,grunting,grunt,51,lameness,lameness,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,swollen left abdomen,lying down,staggering,urination,extension of neck,yes,70,swollen left abdomen,swollen left abdomen,161,lying down,lying down,390,staggering,stagger,309,urination,micturition,14,extension of neck,extension of neck
mammal,even-toed ungulates,sheep,cessation of eructation,difficulty in breathing,depression,anorexia,colic,yes,322,cessation of education,cessation of education,9,difficulty in breathing,difficulty in breathing,43,depression,depression,56,anorexia,anorexia,58,colic,colic
mammal,even-toed ungulates,sheep,fever,excession salivation,abnormal conformation,ulcerated muscle,ulcerated ear,yes,175,fever,fever,21,excess on salivation,excess on salivation,147,abnormal conformation,abnormal conformation,257,ulcerated muscle,ulcerated muscle,257,ulcerated ear,ulcerated ear
mammal,even-toed ungulates,sheep,barren ewes,abortion,poor conformation,hairy fleeces,weight loss,yes,245,barren ewes,barren ewes,76,abortion,abortion,147,poor conformation,poor conformation,159,hairy fleeces,hairy fleeces,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,tremor,viability,coughing,anorexia,weight loss,yes,109,tremor,tremor,237,viability,viability,86,coughing,cough,56,anorexia,anorexia,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,fever,tachypea,swelling of head and neck,anorexia,nasal discharge,yes,175,fever,fever,407,tach yea,tach yea,7,swelling of head and neck,swelling of head and neck,56,anorexia,anorexia,102,nasal discharge,nasal discharge
mammal,even-toed ungulates,sheep,lllthrift,skin lesion,lameness,swelling on thebody,weight loss,yes,61,all thrift,all thrift,18,skin lesion,skin lesion,51,lameness,lameness,7,swelling on the body,swelling on the body,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,swelling,heat,flank,pain,nasal discharge,yes,7,swelling,swelling,438,heat,heat,348,flank,flank,95,pain,pain,102,nasal discharge,nasal discharge
mammal,even-toed ungulates,sheep,fever,loss of appetite,lameness,rump,weight loss,yes,175,fever,fever,4,loss of appetite,loss of appetite,51,lameness,lameness,50,rump,hindquarters,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,fever,swelling,loss of appetite,anorexia,weight loss,yes,175,fever,fever,7,swelling,swelling,4,loss of appetite,loss of appetite,56,anorexia,anorexia,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,fever,diarrhea,bloody droping,abdominal discomfort,lethargy,yes,175,fever,fever,17,diarrhoea,diarrhea,74,bloody dropping,bloody dropping,149,abdominal discomfort,abdominal discomfort,312,lethargy,lethargy
mammal,even-toed ungulates,sheep,fever,depression,small intestines,death,flock moratality,yes,175,fever,fever,43,depression,depression,358,small intestines,small intestines,25,death,death,399,flock mortality,flock mortality
mammal,even-toed ungulates,sheep,haemorrhage,straw colored,abdominal pain,death,carcass decomposes,yes,99,haemorrhage,bleeding,64,straw coloured,straw coloured,149,abdominal pain,abdominal pain,25,death,death,303,carcass decomposes,carcass decomposes
mammal,even-toed ungulates,sheep,bloody diarhhea,depression,dullness,death,weakness,yes,17,bloody diarrhoea,bloody diarrhoea,43,depression,depression,67,dullness,dullness,25,death,death,266,weakness,failing
mammal,even-toed ungulates,sheep,reluctant move,loss of appetite,lameness,death,weakness,yes,120,reluctant move,reluctant move,4,loss of appetite,loss of appetite,51,lameness,lameness,25,death,death,266,weakness,failing
mammal,even-toed ungulates,sheep,fever,depression,loss of appetite,loss of appetite,pains,yes,175,fever,fever,43,depression,depression,4,loss of appetite,loss of appetite,4,loss of appetite,loss of appetite,394,pains,striving
mammal,even-toed ungulates,sheep,fever,difficulty in breathing,lethargy,death,pains,yes,175,fever,fever,9,difficulty in breathing,difficulty in breathing,312,lethargy,lethargy,25,death,death,394,pains,striving
mammal,even-toed ungulates,sheep,poor wool,loss of appetite,lameness,small size,poor body condition,yes,28,poor wool,poor wool,4,loss of appetite,loss of appetite,51,lameness,lameness,290,small size,small size,33,poor body condition,poor body condition
mammal,even-toed ungulates,sheep,poor immune function,achomotrica,dehydration,death,pains,yes,177,poor immune function,poor immune function,263,echo monica,echo monica,35,dehydration,dehydration,25,death,death,394,pains,striving
mammal,even-toed ungulates,sheep,abdominal pain,diarrhea,malpresentation,shock,anorexia,yes,149,abdominal pain,abdominal pain,17,diarrhoea,diarrhea,333,a presentation,a presentation,229,shock,daze,56,anorexia,anorexia
mammal,even-toed ungulates,sheep,fetopelvic dispropotion,uteria inertia,despression,death,pains,yes,225,get pelvic disproportion,get pelvic disproportion,426,uteri inertia,uteri inertia,43,depression,depression,25,death,death,394,pains,striving
mammal,even-toed ungulates,sheep,watery diarrhea dispropotion,sick,corneal ulceration,loss of appetite,death,yes,17,watery diarrhoea disproportion,watery diarrhoea disproportion,227,sick,sick,1,corneal ulceration,corneal ulceration,4,loss of appetite,loss of appetite,25,death,death
mammal,even-toed ungulates,sheep,severe kerititis,conjunctive,discharge,iris prolapse,loss of eye,yes,180,severe keratitis,severe keratitis,125,conjunctive,conjunction,105,discharge,discharge,228,iris prolapse,iris prolapse,19,loss of eye,loss of eye
mammal,even-toed ungulates,sheep,swollen,testical pain,itches,bloody discharge,tenderness,yes,331,swollen,swell,234,test cal pain,test cal pain,78,itches,scabies,27,bloody discharge,bloody discharge,45,tenderness,tenderness
mammal,even-toed ungulates,sheep,fever,diarrhea,depression,scratches,weight loss,yes,175,fever,fever,17,diarrhoea,diarrhea,43,depression,depression,129,scratches,abrasion,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,foul smelling,dullness,dirty,stained wool,tail shaking,yes,142,foul smelling,foul smelling,67,dullness,dullness,238,dirty,dirty,28,stained wool,stained wool,66,tail shaking,tail shaking
mammal,even-toed ungulates,sheep,sheep often bites,fleece become thin,loss of wool,death,pains,yes,189,sheep often bites,sheep often bites,341,fleece become thin,fleece become thin,28,loss of wool,loss of wool,25,death,death,394,pains,striving
mammal,even-toed ungulates,sheep,fever,dullness,dullness,skin rashes,pains,yes,175,fever,fever,67,dullness,dullness,67,dullness,dullness,87,skin rashes,skin rashes,394,pains,striving
mammal,even-toed ungulates,sheep,fever,difficulty in breathing,rub,coughing,sneezing,yes,175,fever,fever,9,difficulty in breathing,difficulty in breathing,226,rub,hang-up,86,coughing,cough,49,sneezing,sneeze
mammal,even-toed ungulates,sheep,restlessness,kick,lethargy,nible at their wool,scratching,yes,72,restlessness,restlessness,106,kick,kick,312,lethargy,lethargy,119,bible at their wool,bible at their wool,375,scratching,scrape
mammal,even-toed ungulates,sheep,jaundice,loss of appetite,rough hair coat,coughing,death,yes,236,jaundice,jaundice,4,loss of appetite,loss of appetite,40,rough hair coat,rough hair coat,86,coughing,cough,25,death,death
mammal,even-toed ungulates,sheep,fever,reduce reproductive potential,agalactia,loss of milk production,sloughing of the tail,yes,175,fever,fever,186,reduce reproductive potential,reduce reproductive potential,203,galactic,galactic,97,loss of milk production,loss of milk production,298,sloughing of the tail,sloughing of the tail
mammal,even-toed ungulates,sheep,pyrexia,oral lesion,swelling,lameness,death,yes,175,pyrexia,fever,18,oral lesion,oral lesion,7,swelling,swelling,51,lameness,lameness,25,death,death
mammal,even-toed ungulates,sheep,red skin,loss of appetite,moist,lameness,pains,yes,77,red skin,red skin,4,loss of appetite,loss of appetite,432,moist,damp,51,lameness,lameness,394,pains,striving
mammal,even-toed ungulates,sheep,limping,skin colour change,flabby,raw,sensitive to touch,yes,51,limping,lameness,101,skin colour change,skin colour change,287,flabby,soft,275,raw,raw,170,sensitive to touch,sensitive to touch
mammal,even-toed ungulates,sheep,groosly enlarged,skin may thicken,convulsion,edematous,pains,yes,93,grossly enlarged,grossly enlarged,110,skin may thicken,skin may thicken,168,convulsion,paroxysm,205,exempt us,exempt us,394,pains,striving
mammal,even-toed ungulates,sheep,hyperexcitability,muscular spasms,gums,death,pains,yes,124,hype excitability,hype excitability,98,muscular spasms,muscular spasms,377,gums,chewing gum,25,death,death,394,pains,striving
mammal,even-toed ungulates,sheep,decreased eyelid,very cold skin,lethargy,lip,fever,yes,20,decreased eyelid,decreased eyelid,369,very cold skin,very cold skin,312,lethargy,lethargy,126,lip,lip,175,fever,fever
mammal,even-toed ungulates,sheep,fever,diarrhea,muscus,weight loss,death,yes,175,fever,fever,17,diarrhoea,diarrhea,44,mucus,mucus,185,weight loss,weight loss,25,death,death
mammal,even-toed ungulates,sheep,foul smelling,diarrhea,colic,bloody discharge,blood clots,yes,142,foul smelling,foul smelling,17,diarrhoea,diarrhea,58,colic,colic,27,bloody discharge,bloody discharge,27,blood clots,blood clots
mammal,even-toed ungulates,sheep,inability to digest,diarrhea,dehydration,weight loss,anemia,yes,2,inability to digest,inability to digest,17,diarrhoea,diarrhea,35,dehydration,dehydration,185,weight loss,weight loss,422,anaemia,anemia
mammal,even-toed ungulates,sheep,fever,diarrhea,pot belly,death,loss of appettite,yes,175,fever,fever,17,diarrhoea,diarrhea,136,pot belly,pot belly,25,death,death,4,loss of appetite,loss of appetite
mammal,even-toed ungulates,sheep,emaciation,diarrhea,coughing,weight loss,death,yes,148,emaciation,bonyness,17,diarrhoea,diarrhea,86,coughing,cough,185,weight loss,weight loss,25,death,death
mammal,even-toed ungulates,sheep,respiratory distress,diarrhea,death,reduce milk,weight loss,yes,32,respiratory distress,respiratory distress,17,diarrhoea,diarrhea,25,death,death,97,reduce milk,reduce milk,185,weight loss,weight loss
mammal,even-toed ungulates,sheep,lllthrift,bottle jaw,strange behaviour,aneamia,jaundice,yes,61,all thrift,all thrift,183,bottle jaw,bottle jaw,342,strange behaviour,strange behaviour,422,anaemia,anemia,236,jaundice,jaundice
mammal,even-toed ungulates,sheep,fever,lameness,wasting,blindness,staggering,yes,175,fever,fever,51,lameness,lameness,56,wasting,cachexia,184,blindness,blindness,390,staggering,stagger
mammal,even-toed ungulates,sheep,fever,diarrhea,clearly unthrifty,weight loss,good appetite,yes,175,fever,fever,17,diarrhoea,diarrhea,61,clearly thrifty,clearly thrifty,185,weight loss,weight loss,4,good appetite,good appetite
mammal,even-toed ungulates,sheep,fever,dullness,relunctance to walk,infected navels,pains,yes,175,fever,fever,67,dullness,dullness,90,reluctance to walk,reluctance to walk,137,infected navels,infected navels,394,pains,striving
mammal,even-toed ungulates,sheep,tenderness,foot hot,facial paralysis,weight loss,pains,yes,45,tenderness,tenderness,118,foot hot,foot hot,13,facial paralysis,facial paralysis,185,weight loss,weight loss,394,pains,striving
mammal,even-toed ungulates,sheep,fever,lack of coordination,painfull to touch,circling,depression,yes,175,fever,fever,91,lack of coordination,lack of coordination,170,painful to touch,painful to touch,207,circling,circle,43,depression,depression
mammal,even-toed ungulates,sheep,swollen,warm,constipation,depression,bloody,yes,331,swollen,swell,241,warm,warm,212,constipation,constipation,43,depression,depression,261,bloody,bloody
mammal,even-toed ungulates,sheep,fever,loss of appetite,stumbling,restlessness,pains,yes,175,fever,fever,4,loss of appetite,loss of appetite,250,stumbling,stumble,72,restlessness,restlessness,394,pains,striving
mammal,even-toed ungulates,sheep,unsteady gait,twitching,blindness,swelling on joints,pains,yes,84,unsteady gait,unsteady gait,223,twitching,twitch,184,blindness,blindness,7,swelling on joints,swelling on joints,394,pains,striving
mammal,even-toed ungulates,sheep,fever,ulcer,scabs,discharge from eye,pains,yes,175,fever,fever,257,ulcer,ulcer,78,scabs,scab,105,discharge from eye,discharge from eye,394,pains,striving
mammal,even-toed ungulates,sheep,smell of ammonia,ulcer,depression,swelling,pains,yes,142,smell of ammonia,smell of ammonia,257,ulcer,ulcer,43,depression,depression,7,swelling,swelling,394,pains,striving
mammal,even-toed ungulates,sheep,fever,lethargy,blindness,inappentence,increased in breathing,yes,175,fever,fever,312,lethargy,lethargy,184,blindness,blindness,242,ina sentence,ina sentence,182,increased in breathing,increased in breathing
mammal,even-toed ungulates,sheep,wandering,circling,blindness,head pressing,recumbency,yes,401,wandering,wandering,207,circling,circle,184,blindness,blindness,299,head pressing,head pressing,385,recumbent,accumbent
mammal,even-toed ungulates,sheep,tremors,lying on the side,difficulty in swallowing,death,not eating,yes,109,tremors,tremor,161,lying on the side,lying on the side,2,difficulty in swallowing,difficulty in swallowing,25,death,death,141,not eating,not eating
mammal,even-toed ungulates,sheep,fever,difficulty in breathing,coughing,sneezing,seizures,yes,175,fever,fever,9,difficulty in breathing,difficulty in breathing,86,coughing,cough,49,sneezing,sneeze,60,seizures,seizure
mammal,even-toed ungulates,sheep,swelling,loss of appetite,wool loss,tears,death,yes,7,swelling,swelling,4,loss of appetite,loss of appetite,28,wool loss,wool loss,332,tears,crying,25,death,death
